Experiment,Accuracy,Time_Unsup,Time_Sup,Total_Time,Filters,Kernel_Alpha,N_Patches
Baseline,32.075,24.398540019989014,194.655268907547,219.053808927536,"[64, 128]","[1.0, 1.0]",100000
Low Capacity,31.325,20.158641576766968,182.69450783729553,202.8531494140625,"[32, 64]","[1.0, 1.0]",100000
High Capacity,27.35,28.67011070251465,233.2582323551178,261.92834305763245,"[128, 256]","[1.0, 1.0]",100000
Low Selectivity (Alpha=0.5),25.35,24.139320611953735,200.30710577964783,224.44642639160156,"[64, 128]","[0.5, 0.5]",100000
High Selectivity (Alpha=1.5),37.3,23.731427669525146,198.56409692764282,222.29552459716797,"[64, 128]","[1.5, 1.5]",100000
Low Budget (10k),30.325,2.8639376163482666,198.98965072631836,201.85358834266663,"[64, 128]","[1.0, 1.0]",10000
High Budget (200k),28.3,43.77740502357483,201.34528017044067,245.1226851940155,"[64, 128]","[1.0, 1.0]",200000
